id,center_name,total_voter,1,2,3,4,5,6,7,8,9,10,11,total_legal_vote,total_cancelled_vote,total_vote,total_vote_rate
183,"কন্যাদহ সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2531,3,843,0,2,0,2,532,6,1,2,0,1391,29,1420,54.96
14,"ঝিনাইদহ সরকারি উচ্চ বালিকা বিদ্যালয়, (উভয়)",2027,0,249,0,1,0,0,533,1,1,2,0,787,9,796,38.83
61,"গাড়ামারা সোনার দাইড় সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2559,0,555,1,0,1,4,535,1,4,1,1,1103,40,1143,43.10
168,"শিংগা আশরাফ উদ্দীন সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1799,3,384,3,2,1,7,537,3,8,4,6,958,51,1009,53.25
75,"রঘুনাথপুর মাধ্যমিক বিদ্যালয়, (উভয়)",2152,1,654,0,0,2,4,538,3,0,3,1,1206,40,1246,56.04
36,"মাগুরা পোতাহাটি সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",1976,1,310,1,1,0,3,539,1,3,0,8,867,33,900,43.88
37,"আঃ রউফ ডিগ্রি কলেজ, (উভয়)",2670,0,444,1,3,0,0,539,2,1,0,21,1011,58,1069,37.87
11,"শিশুকুঞ্জ স্কুল অ্যান্ড কলেজ, (উভয়)",1757,3,350,0,0,0,1,557,1,0,3,0,915,17,932,52.08
7,"ঝিনাইদহ নিউ একাডেমী, (উভয়)",2063,0,181,0,0,0,0,558,0,1,0,0,740,8,748,35.87
65,"নগরবাথান সরকারি প্রাথমিক বিদ্যালয়, (উভয়)",2096,1,557,1,3,1,1,559,3,6,2,3,1137,50,1187,54.25
